time_ns,wclk,rclk,wptr_dec,rptr_dec,wen,ren,wFull,wHalfFull,rEmpty,rHalfEmpty
2281.25,1,0,64,55,0,1,0,0,0,1
2287.5,0,0,64,55,0,1,0,0,0,1
2290,0,1,64,56,0,1,0,0,0,1
2293.75,1,1,64,56,0,1,0,0,0,1
2300,0,0,64,56,0,1,0,0,0,1
2306.25,1,0,64,56,0,1,0,0,0,1
2310,1,1,64,57,0,1,0,0,0,1
2312.5,0,1,64,57,0,1,0,0,0,1
2318.75,1,1,64,57,0,1,0,0,0,1
2320,1,0,64,57,0,1,0,0,0,1
2325,0,0,64,57,0,1,0,0,0,1
2330,0,1,64,58,0,1,0,0,0,1
2331.25,1,1,64,58,0,1,0,0,0,1
2337.5,0,1,64,58,0,1,0,0,0,1
2340,0,0,64,58,0,1,0,0,0,1
2343.75,1,0,64,58,0,1,0,0,0,1
2350,0,1,64,59,0,1,0,0,0,1
2356.25,1,1,64,59,0,1,0,0,0,1
2360,1,0,64,59,0,1,0,0,0,1
2362.5,0,0,64,59,0,1,0,0,0,1
2368.75,1,0,64,59,0,1,0,0,0,1
2370,1,1,64,60,0,1,0,0,0,1
2375,0,1,64,60,0,1,0,0,0,1
2380,0,0,64,60,0,1,0,0,0,1
2381.25,1,0,64,60,0,1,0,0,0,1
2387.5,0,0,64,60,0,1,0,0,0,1
2390,0,1,64,61,0,1,0,0,0,1
2393.75,1,1,64,61,0,1,0,0,0,1
2400,0,0,64,61,0,1,0,0,0,1
2406.25,1,0,64,61,0,1,0,0,0,1
